Start Date;01/01/2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
End Date;26/01/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ATO FP Equity;FP FP Equity;EN FP Equity;ADP FP Equity;AI FP Equity;AIR FP Equity;AMS SM Equity;AZN LN Equity;TEAM US Equity;ATO FP Equity;BKT SM Equity;BKG LN Equity;BIM FP Equity;BMW GR Equity;BNP FP Equity;BOBNN SW Equity;EN FP Equity;BP/ LN Equity;BTVCY US Equity;BNZL LN Equity;BVI FP Equity;CPG LN Equity;CPG LN Equity;1COV GY Equity;CRDA LN Equity;BN FP Equity;DAL IM Equity;DGE LN Equity;DPLM LN Equity;EDENFP CorpTicker;FGR FP Equity;ESSITYB SS Equity;ERF FP Equity;EXPN LN Equity;FNAC FP Equity;FRE GY Equity;GEBN SW Equity;GIVN SW Equity;HLMA LN Equity;HAS LN Equity;HENKEL HB Equity;ICON LN Equity;IMA IM Equity;ITX SM Equity;INGA NA Equity;ITRK LN Equity;KOMB CP Equity;KONE AV Equity;LH US Equity;LR FP Equity;MC FP Equity;MARR IM Equity;MDT US Equity;ML FP Equity;NESN SW Equity;RI FP Equity;POM FP Equity;RB/ LN Equity;RIO LN Equity;ROG SW Equity;ROR LN Equity;RUI FP Equity;SGE LN Equity;SAN FP Equity;SAP GY Equity;SLB US Equity;SU FP Equity;GLE FP Equity;SW FP Equity;STAN LN Equity;THEP FP Equity;TOTAL 3.875 PERP REGS Corp;UPM FH Equity;FR FP Equity;VIE FP Equity;DG FP Equity;WDI GY Equity;MRW LN Equity
09/08/2018;75,6934;55,26;37,38;191,4;98,5;108,66;72,56;6076;78,31;75,6934;7,92;3708;71,2;84,69;54,18;89,7;37,38;564,4;20,69;2340;22,35;1679;1679;79,78;5398,537;68,22;29,4;2797,5;1334;#N/A N/A;96,36;228,5;451;1901,5;78,5;66,24;442,3;2316;1409;201,2;#N/A N/A;2,35;72,15;28,02;12,67;5400;946;#N/A N/A;179,94;63,06;303;24,42;91,22;111,95;81,74;140,1;35,9;6879;3881,5;240,5;338,1;51,3;673,2;73,16;100,3;65,4;69,28;37,155;95,3;693,2;55,4;108,971;31,7;42,12;18,73;84,5;168,45;264,8
10/08/2018;73,7273;53,95;37,16;189,5;96,7273;107,52;72,54;6107;78,07;73,7273;7,85;3700;71;83,5;52,56;87,15;37,16;556;20,69;2321;22,38;1667;1667;77,64;5328,878;67,52;30,75;2796,5;1316;#N/A N/A;96,3;226,4;447,2;1901;78,45;64,7;436,5;2285;1408;198,8;#N/A N/A;2,35;70,5;28,05;12,124;5334;950;#N/A N/A;179,59;62,52;295,55;24,06;90,6;111,1;80,54;138,75;35,2;6819;3803;238,6;340,6;50,9;672;73,71;98,65;66,04;67,98;36,225;94,34;679,9;55,6;108,688;30,75;41,53;18,33;83,16;168,55;264,3
13/08/2018;74,4684;54,09;36,95;188,7;97,0455;108,1;74;6052;78,23;74,4684;7,794;3693;71,1;83,14;52,01;85,45;36,95;558,3;20,16;2317;22,24;1663;1663;78,58;5337,074;67,6;30,6;2796;1317;#N/A N/A;95,96;226,2;436,2;1902;77,7;65;436,4;2280;1407;198,5;#N/A N/A;2,35;71,2;27,86;11,852;5366;947;#N/A N/A;179,77;62,52;297,5;24;90,74;110,5;80,64;139,05;35,26;6787;3823,5;238,15;337,5;50,4;664,2;73,49;100,1;64,97;67,88;35,855;92,96;672,4;55,6;108,509;30,74;41,37;18,31;83,12;169,8;262,2
14/08/2018;74,8767;53,55;37;185,8;97,1364;108;74,4;6015;78,71;74,8767;7,756;3659;71,8;82,67;51,86;83,7;37;555,3;20,16;2317;22,29;1655;1655;79,12;5337,074;68,05;31,75;2803,5;1313;#N/A N/A;95,86;226,2;438,8;1900;75,25;65,18;429,5;2302;1405;198,3;#N/A N/A;2,3;70,5;27,61;11,818;5310;940;#N/A N/A;180,59;62,8;300,05;23,96;91,05;110,85;80,96;139,8;35,06;6842;3775;239,5;333,9;50,8;670,4;72,85;100,36;64,8;68,24;35,545;93,04;663;56;108,489;30,55;40,74;18,28;83,18;170,35;263,55
15/08/2018;73,5005;52,07;36,28;184,3;95,7273;105,22;74;5942;77,64;73,5005;7,552;3646;72,1;81,35;51,4;81,45;36,28;545;20,16;2301;22,24;1640;1640;76,48;5218,244;66,97;31,75;2764,5;1323;#N/A N/A;94,2;227,7;434,8;1880,5;74,4;64,26;423;2276;1392;198,9;#N/A N/A;2,3;70,5;27,49;11,76;5258;936;#N/A N/A;179,21;62,18;291,15;23,96;90,99;107,8;80,98;138,1;34,44;6785;3649,5;237,25;329,8;50,45;666;72,16;99,3;62,29;66,96;35,315;91,96;646,7;56;108,196;29,78;39,37;18,025;81,44;161,25;261,7
16/08/2018;74,2113;52,36;36,57;188,3;96,5;107,56;75,08;5936;78,1;74,2113;7,598;3717;72,2;81,83;51,4;81,4;36,57;548,6;20,16;2325;22,2;1675;1675;77,56;5296,098;67,67;32,05;2788;1320;#N/A N/A;93,8;233,8;437,4;1904,5;74,95;64,98;428,4;2292;1404;200;#N/A N/A;2,3;69,45;27,32;11,83;5284;937;#N/A N/A;178,88;62,38;297,8;23,82;91,1;109;81,26;139,2;34,58;6773;3689,5;239,2;328,9;50,45;664,4;72,66;102,06;62,49;67,22;35,47;92,74;651,1;56;108,049;30,39;39,23;18,155;81,22;176,2;262,9
17/08/2018;74,6801;52,4;36,49;190,5;96,2273;107,72;75,84;5930;78,02;74,6801;7,57;3737;73,3;81,46;50,99;81,5;36,49;548,6;20,16;2338;22,26;1697,5;1697,5;76,72;5263,317;67,69;31,6;2793,5;1310;#N/A N/A;94,3;235,3;446,4;1902;74,85;65;428,7;2297;1410;198,6;#N/A N/A;2,3;68,3;27,55;11,694;5278;935,5;#N/A N/A;182,19;62,54;296,9;23,8;90,6;108;81,48;138,95;34,36;6783;3706;239,95;329;50,45;665,8;73,3;101,98;62,83;67,86;35,235;92,82;644,8;56;108,048;30,35;39,27;18,08;81,92;178,8;263,3
20/08/2018;75,4968;52,9;36,66;191,6;96,9545;107,88;77,18;5979;78,25;75,4968;7,576;3696;73,7;81,75;51,18;82,1;36,66;551,9;20,16;2352;22,39;1708,5;1708,5;77,84;5255,122;68,04;31,15;2798,5;1309;#N/A N/A;94,46;237,1;455,4;1900;74,7;65,52;433,6;2306;1417;199,2;#N/A N/A;2,3;69,9;27,73;11,672;5262;932,5;#N/A N/A;179,02;62,82;299,25;23,94;90,03;108,3;81,82;139,45;35,02;6827;3717,5;242;327,9;50,75;619,2;73,43;102,6;63,5;68,58;35,25;92,4;648;56;108,028;30,66;40,18;18,05;82;184,6;263,8
21/08/2018;76,8276;53,21;37,28;193;97,3636;107,46;78,14;5956;79,26;76,8276;7,652;3720;73,4;82,83;51,78;82,35;37,28;551,6;20,16;2319;22,5;1681,5;1681,5;78,88;5277,659;68,45;31;2767;1300;#N/A N/A;95,88;237,5;461,8;1889,5;76,75;66;434,9;2298;1419;200,6;#N/A N/A;2,25;70,25;27,97;11,908;5256;936,5;#N/A N/A;177,58;62,98;298,85;23,84;95,17;108,95;81,84;139,15;35,52;6768;3667;242,9;330,5;50,85;629,2;74,37;102,32;64,76;68,86;35,705;91,58;646,7;56;108,261;31,17;40,23;18,335;83;180,8;268,05
22/08/2018;76,3739;53,73;37,58;192,5;97,8636;107,32;79,32;5937;80,06;76,3739;7,634;3711;73,9;82,09;52,07;82,95;37,58;554,6;20,16;2316;22,46;1686,5;1686,5;78,48;5263,317;68,3;31,25;2752;1328;#N/A N/A;96,16;237,2;469,4;1897;75,3;66,52;433,8;2306;1423;201;#N/A N/A;2,25;69,95;28,41;11,99;5220;929;#N/A N/A;176,58;63,2;300,25;24,02;95,58;104,65;81,28;138,65;34,22;6749;3697;241,4;330,9;50,75;635,2;74,82;102,54;65,09;69,36;36,04;92,64;648;56;108,47;31,41;38,28;18,145;83,24;180,9;269,4
23/08/2018;76,2605;54,17;37,5;191,6;98,0909;107,74;79,6;5881;82,63;76,2605;7,664;3700;73,8;81,06;52;82,8;37,5;557,5;20,16;2320;22,5;1669,5;1669,5;77,72;5255,122;68,35;30,75;2756,5;1358;#N/A N/A;96,74;238;478,4;1908;75;66,52;434,9;2322;1428;202;#N/A N/A;2,15;71,25;28,33;11,954;5242;929,5;#N/A N/A;175,92;63,22;299,5;24,2;95,61;102,3;81,44;138,35;34,1;6731;3661,5;241,4;333,5;50,7;641,6;74,72;103,54;64,65;69,28;35,94;92,66;644,8;56,6;108,395;31,79;38,02;18,17;83,24;186,45;269,2
24/08/2018;77,3948;54,87;37,42;192,9;97,8636;107,5;80,2;5886;86,11;77,3948;7,672;3635;73,8;81,14;51,97;81,8;37,42;563,7;20,16;2330;22,37;1676;1676;78,62;5283,805;68,4;30,85;2750;1362;#N/A N/A;96,5;238,3;476;1906;74,8;66,54;434,9;2326;1431;200;#N/A N/A;2,65;70,75;28,54;11,928;5236;924;#N/A N/A;174,7;63,34;299,35;23,88;95,55;102,75;81,44;138,4;34,25;6710;3719;240,95;335,9;51,5;643,6;74,7;103,98;65,25;69,4;36,08;93,74;647,2;59,8;108,332;31,72;38,2;18,095;83,1;188,4;266,8
27/08/2018;77,357;55,42;37,43;193,6;99,2727;108;80,96;5886;86,54;77,357;7,812;3635;74,6;83,19;52,46;82,05;37,43;563,7;20,16;2330;22,45;1676;1676;79,58;5283,805;68,84;30,45;2750;1362;#N/A N/A;96,96;239,1;480,4;1906;75,7;67,28;441,6;2338;1431;200;#N/A N/A;2,65;70,8;28,81;12,03;5236;922;#N/A N/A;174,18;64,24;302,6;24,22;95,44;103,9;81,5;138,3;34,92;6710;3719;242,3;335,9;51;643,6;74,62;104,7;64,85;70,9;36,285;94,72;647,2;58,6;108,256;31,74;39,28;18,19;83,6;194,25;266,8
28/08/2018;77,8107;54,8;36,93;191,8;99,1818;108,96;80,8;5915;87,66;77,8107;7,78;3666;75,2;84,36;51,99;81,55;36,93;559,7;20,16;2325;22,32;1692;1692;77,16;5363,708;68,89;30,8;2742;1365;#N/A N/A;96,38;237;483;1925;74,95;67,38;441,6;2345;1447;202;#N/A N/A;2,4;70,2;28,29;11,916;5298;933,5;#N/A N/A;174,24;64,66;308,25;24,18;95,77;104,35;81,26;138,45;35,12;6757;3768;242;339,4;50,95;651,2;74,34;104,44;64,07;71,18;35,97;94,18;652,5;59,4;108,279;32,46;39,99;18,36;83,1;192,2;268,6
29/08/2018;78,3022;54,85;37,36;192,5;99,7727;110,06;80,6;5889;89,47;78,3022;7,826;3674;76,7;84,28;52;82;37,36;554,6;20,16;2392;22,25;1675;1675;75,6;5367,805;69,05;31,45;2731;1395;#N/A N/A;96,58;238;490,8;1942,5;73,8;67,64;444,2;2400;1443;202,8;#N/A N/A;2,8;71;26,69;11,952;5240;931,5;#N/A N/A;173,94;64,86;309,5;24,7;96,59;103,6;81,5;138,45;34,73;6697;3727,5;242,35;341,4;50,85;645,4;74,94;104,54;64,49;71;36;92,78;642,4;59,6;108,157;32,9;39,61;18,34;83,6;191,4;266,05
30/08/2018;78,4912;54,65;39;190,1;100;108,98;80,78;5910;89,29;78,4912;7,752;3664;75,5;84,15;51,3;83,25;39;556,5;20,16;2389;22,3;1673;1673;74,18;5316,586;68,5;31,25;2719,5;1475;#N/A N/A;98,58;238,8;484,4;1935;73;66,32;443,5;2385;1437;194;#N/A N/A;2,5;70,3;26,14;11,81;5216;930;#N/A N/A;172,86;65,08;310,1;24,38;96,81;104,25;81,22;135,6;34,6;6625;3687,5;241,7;338,5;50,7;645,6;74,58;104,28;64,34;70,7;35,605;91,5;633,4;58;108,013;33,25;39,5;18,27;83,66;191,2;266,4
31/08/2018;78,0375;53,87;38,03;189,3;98,6364;106,26;79,92;5795;90,01;78,0375;7,664;3643;75,7;83,32;50,58;82,95;38,03;547,3;20,16;2398;22,14;1658,5;1658,5;73,38;5224,391;67,82;32,1;2694,5;1456;#N/A N/A;96,96;237;486,4;1920;72,7;65,78;440,8;2358;1432;203,4;#N/A N/A;2,53;70,3;26,05;11,69;5134;924,5;#N/A N/A;172,87;64,9;301,85;24,2;96,41;101,95;81,38;136;34,12;6559;3659;240,8;338;51;595,4;73,69;103,62;63,16;70,24;35,24;89,72;627,1;58,2;107,884;33,2;39,11;18,16;82,56;191,3;263,25
03/09/2018;77,0167;54,14;36,97;189,8;99;107,5;80,7;5889;90,01;77,0167;7,606;3670;74,8;82,78;50,66;82,2;36,97;553,7;20,16;2404;22,2;1677,5;1677,5;73,08;5287,903;67,87;31,5;2715;1457;#N/A N/A;96,32;235,9;484,4;1932;72,85;65,64;441,8;2354;1443;207,2;#N/A N/A;2,53;70,5;25,5;11,686;5172;927;#N/A N/A;172,87;64,64;302,3;24,2;96,41;101,3;81,5;136,25;33,29;6624;3650;242,05;342,7;51,05;603,4;74,5;103,64;63,16;70,1;35,37;89,64;638,2;57;107,788;33,33;38,44;18,08;82,12;195,75;265,2
04/09/2018;77,2814;53,63;36,03;190,6;96,8636;105,16;80,3;5800;91,9;77,2814;7,774;3510;74,3;82,07;50,88;82;36,03;552,9;20,16;2415;22,13;1671;1671;72,66;5175,22;66,62;31;2719,5;1413;#N/A N/A;96,4;236,3;477,4;1918,5;72,8;65,58;442,2;2337;1430;205,4;#N/A N/A;2,53;71;25,25;11,546;5134;921;#N/A N/A;169,15;64,1;291,7;24,28;95,56;100,55;80,5;136,25;32,88;6526;3574;240,6;342,8;51,55;590,8;73,15;102,4;61,92;68,88;35,7;90,66;633;57,4;107,838;32,99;38;18,035;81,1;193,2;264,2
05/09/2018;75,6556;52,53;35,45;189,7;96;103;76,94;5701;87,61;75,6556;7,792;3538;77,8;81,34;51,11;81,5;35,45;546,3;20,16;2390;21,92;1649,5;1649,5;70,94;5136,293;65,45;30,9;2685,5;1386;#N/A N/A;94,96;235,9;462,8;1894;72;63,86;435,8;2309;1420;208,4;#N/A N/A;2,53;70,25;25,08;11,554;5056;895;#N/A N/A;168,9;63,28;281,25;24,36;96,04;99,54;79,9;134,7;32,7;6468;3564,5;237,7;341,9;50,9;579,8;72,55;99,22;61,02;67,92;36,135;89,58;630,9;56,2;107,776;32,84;37,39;17,845;79,46;182,1;262,4
06/09/2018;75,0279;52,03;35,1;190,1;95,5455;104,28;76,06;5635;86,68;75,0279;7,768;3576;76,4;80,89;50,99;80,55;35,1;541,2;20,16;2376;21,97;1635,5;1635,5;69,32;5132,196;65,42;30,3;2685,5;1390;#N/A N/A;97,32;234,4;464,4;1882;72,05;63,62;432,5;2320;1403;206,2;#N/A N/A;2,25;70,3;25,01;11,496;5072;884;#N/A N/A;169,71;63,04;280,65;24,5;96,49;99,62;79,96;132,75;32,1;6473;3544,5;235,3;333;51,3;570,2;72,27;98,76;60,21;67,84;35,9;88,24;622,3;56,4;107,804;32,57;36,98;17,875;80,4;184,5;261,7
07/09/2018;74,8918;51,99;35,66;189,7;96,1364;104,84;76,56;5650;87,01;74,8918;7,628;3563;76,2;80,86;50,45;79,95;35,66;536,9;20,16;2357;22;1627;1627;69,68;5144,488;65,19;30,8;2681,5;1382;#N/A N/A;97,34;235;467,6;1890;71,5;63,6;434,6;2332;1390;204,4;#N/A N/A;2,25;70,9;25,17;11,1;5028;896,5;#N/A N/A;167,67;62;284,15;24,7;96,32;100,2;80,24;133,9;31,95;6456;3509,5;238,2;331;51,4;581,6;72,97;100,56;59,7;64,5;35,4;86,16;619,5;56,2;108,119;32,64;37,28;17,73;80,24;192,45;261,9
10/09/2018;75,1943;51,88;35,98;190,3;96;104,8;77,64;5703;87,96;75,1943;7,698;3604;75,4;81,02;50,61;79,05;35,98;538,5;20,16;2382;22,17;1634,5;1634,5;69,44;5142,439;65,28;31,2;2690;1374;#N/A N/A;98,08;235,8;468,6;1920;71,35;63,6;439;2365;1394;203,4;#N/A N/A;2,15;72,2;25,51;11,156;5022;897;#N/A N/A;168,89;62;284,8;24,36;96,37;99,98;81,2;134,3;31,86;6508;3515,5;239,8;331,2;52,15;583,4;73,49;101,98;59,98;65,6;35,625;87,5;617,9;56,2;108,735;32,29;37,1;17,725;80,9;186,25;266,15
11/09/2018;76,3739;52,98;36,02;190,4;96;106,76;78,8;5732;90,49;76,3739;7,746;3604;75,5;80,72;50,63;78,9;36,02;544;20,16;2401;22,1;1630,5;1630,5;69;5177,269;64,83;31,35;2683;1387;#N/A N/A;97,86;236,1;471,6;1932;70,3;63,58;441,5;2382;1393;205,8;#N/A N/A;2,15;71,5;25,52;11,004;5014;900;#N/A N/A;170,79;62,34;283,95;24,5;96,08;99,32;80,62;134,3;31,57;6510;3486;237,65;327,6;51,1;580;73,27;102,84;60,32;67,26;35,56;87,62;616,8;57;108,775;32,55;35,29;17,925;80,96;188;267,15
12/09/2018;76,2605;53,88;36,05;193,8;96,1364;106,7;79,28;5717;89,58;76,2605;7,706;3611;75,8;81,07;50,6;78,2;36,05;552,9;20,16;2404;22,34;1645;1645;69,18;5228,488;64,83;31,35;2678,5;1394;#N/A N/A;98,04;238,4;483,2;1938,5;70,45;63,76;445,2;2378;1388;212;#N/A N/A;2,15;72,9;26,57;10,894;5000;918;#N/A N/A;171,98;62,7;290,75;24,9;96,25;99;81,24;134,8;31,77;6507;3534,5;240;328;50,55;579,6;74,61;104,2;60,82;68,4;35,165;89,38;611,9;56,6;108,594;32,58;35,68;17,805;80,76;185,9;265,8
13/09/2018;74,9221;53,53;36,08;187;96,2273;105,64;78,76;5630;93,42;74,9221;7,746;3589;75,4;82,66;51,29;77,35;36,08;549;20,16;2395;22,56;1625,5;1625,5;68,86;5228,488;65,29;31,2;2659;1375;#N/A N/A;97,12;235,9;479;1927,5;70;63,38;444,9;2398;1383;208;#N/A N/A;2,45;72,45;26,54;10,924;4922;921;#N/A N/A;172,53;62,48;290,2;25,5;96,95;102,6;81,14;134,2;31,9;6506;3560;239,7;326,5;45,2;578;75,68;103,7;61,02;67,7;35,515;89,94;612,5;56;108,524;32,48;35,7;17,825;80,5;180,7;260,25
14/09/2018;74,786;53,86;36,23;184,5;96,8636;106,2;79,44;5645;94,18;74,786;7,742;3611;76;82,47;51,54;77,2;36,23;550,4;20,16;2426;22,73;1634;1634;69,72;5271,513;65,4;31,75;2670,5;1392;#N/A N/A;97,52;237,3;480;1945;68,45;63,6;448,8;2394;1400;210,6;#N/A N/A;2,25;73,5;26,62;11,04;4895;917;#N/A N/A;172,98;63,34;292,35;25,6;97,01;103,1;81,28;134,8;32,56;6680;3596,5;238,4;335,2;45,64;585,8;75,63;104,2;61,23;68,56;35,81;91,78;612,1;55,4;108,597;32,93;37,35;17,605;80,72;188,9;257,4
17/09/2018;76,3739;53,71;36,34;183,3;97,1818;106,3;78,94;5622;91,11;76,3739;7,824;3627;75,6;82,19;51,83;76,9;36,34;548,7;21;2412;22,73;1641,5;1641,5;69,2;5253,074;64,79;31,6;2645;1403;#N/A N/A;97,46;235,8;485,2;1920,5;70;62,8;449,5;2384;1406;205,8;#N/A N/A;2,05;73,95;26,22;11,066;4852;904,5;#N/A N/A;171,31;63,8;288,15;25,38;96,03;103,9;80,8;134,4;32,69;6750;3605;237,05;332,8;47,62;581,2;75,1;102,9;60,97;69,12;36,305;91,2;608;55,6;108,642;32,95;37,67;17,65;80,58;188,25;258,8
18/09/2018;78,151;53,98;36,2;185,6;97;104,94;78,26;5609;92,4;78,151;7,9;3613;75,3;82,69;51,89;75,55;36,2;550,1;21,76;2402;22,73;1628,5;1628,5;70,02;5238,732;64,88;32,15;2633,5;1423;#N/A N/A;97,86;232,9;476;1900;69,15;62,54;450,6;2384;1400;206,6;#N/A N/A;2,05;75,6;26,17;11,088;4837;898,5;#N/A N/A;171,32;63,76;288,1;26;96,88;103,7;80,18;134,35;32,77;6732;3615,5;236,65;331,4;48,98;577,4;74,9;103,2;60,99;68,68;36,36;92,28;597,8;55,4;108,622;32,85;37,66;17,48;81,8;188,05;257,45
19/09/2018;80,0792;54,05;36,41;183,6;98,1364;106,36;77,5;5601;89,93;80,0792;8,126;3696;73,9;83,45;52,96;77,15;36,41;553,4;21,76;2401;22,63;1606,5;1606,5;70,58;5236,683;64,32;32,6;2613;1423;#N/A N/A;95,86;230,9;479;1907,5;69,1;62,32;452,8;2393;1389;205,6;#N/A N/A;2,2;75,8;26,26;11,226;4762;907;#N/A N/A;171,01;63,48;290,25;26,42;96,46;104,65;80;133,55;33,48;6742;3722,5;236,5;334,8;48,76;580,2;75,12;102,14;61,23;69,18;37,16;92,16;617,5;55,2;108,638;33,43;39,27;17,225;80,82;184,6;253,9
20/09/2018;80,2683;54,74;36,82;183,4;98,8182;106,46;77,8;5572;91,32;80,2683;8,148;3703;74;85,37;54,31;77,95;36,82;555,5;21,76;2380;22,63;1608,5;1608,5;73,24;5240,781;65,99;31,35;2654;1394;#N/A N/A;96,56;230;480;1924;68,95;62,04;454,9;2388;1391;204;#N/A N/A;2,2;75,85;26,77;11,516;4800;904;#N/A N/A;172,17;63,58;296;26,08;97,48;106,7;80,76;134,3;34,4;6845;3817;235,05;336,8;49,08;577,4;74,67;101,64;61,57;69,94;37,865;93,08;630;55;108,649;33,44;40,57;17,34;81,86;176,2;253,9
21/09/2018;81,8562;54,9;37,1;187,6;100,2727;106,8;78,26;5670;90,69;81,8562;8,116;3668;73,2;85,73;54,53;77,95;37,1;567;21,76;2389;22,86;1628,5;1628,5;72,42;5285,854;66,75;31,8;2700;1358;#N/A N/A;96,9;235,7;479,4;1947;71,1;62,4;452,2;2374;1398;205,2;#N/A N/A;2,15;75,8;27,25;11,626;4951;902;#N/A N/A;172,08;64;305,85;25,36;97,85;107,4;80,56;136,5;34,7;6956;3921;235,15;336,1;49,74;582,8;74,5;104,1;61,13;70,44;37,85;92,18;648,1;55;108,62;33,75;40,95;17,505;83;178,3;256,9
24/09/2018;81,4025;55,53;36,9;189,8;100,1364;105,98;79,36;5652;92,47;81,4025;8,064;3638;73,5;83,5;54,58;76,75;36,9;570,1;21,76;2380;22,73;1633,5;1633,5;71,72;5195,708;65,78;31,4;2683;1360;#N/A N/A;96,44;230,1;479,4;1944,5;70,8;62,1;450,2;2370;1390;202,2;#N/A N/A;2,1;74,95;26,74;11,49;4796;902,5;#N/A N/A;169,51;63,78;305,7;25,38;98,86;105,65;79,76;136,1;34,32;6835;3909;233;330,1;48,7;575;73,86;103,46;61,6;69,68;37,85;92,24;637,7;54,8;108,486;34,04;40;17,385;81,56;182,45;258,65
25/09/2018;81,1;55,59;36,53;189;99,9091;105,08;81,48;5793;94,28;81,1;8,18;3658;74,3;78,9;54,68;75,5;36,53;586,7;21,76;2404;22,71;1669;1669;72,5;5197,757;66,25;31,95;2680;1378;#N/A N/A;96,36;230;483,4;1946,5;68,95;62,08;451,2;2373;1404;206,8;#N/A N/A;2,1;74,95;26,4;11,62;4959;907,5;#N/A N/A;170,54;63,4;303,9;25,64;99;103,9;79,92;137;33,34;6780;3957;236,15;328,9;48;589,4;74,61;107;62,53;69,46;38,07;92,38;635,3;54,6;108,402;34,34;38,56;17,115;82,16;191,4;260,55
26/09/2018;81,4025;55,43;37,5;188,6;102,1818;108,48;81,36;5843;94,36;81,4025;8,188;3667;74,2;78,64;54,63;76,15;37,5;586;20,45;2413;22,65;1671;1671;72,68;5326,83;66,92;31,75;2697,5;1386;#N/A N/A;96,44;230;486,2;1960;68,75;63;453,2;2384;1417;206;#N/A N/A;1,9;73,95;26,57;11,562;4906;902,5;#N/A N/A;170,85;63,12;305,95;25,24;99,17;103,25;80,8;138,45;32,8;6824;3886;236,75;332,2;47,66;584,8;75,49;107,8;60,88;69,62;38,16;90,14;636,5;55;108,338;34,08;38,39;17,21;82,2;190,9;261,05
27/09/2018;79,5877;56,02;37,5;190;103,1818;108,9;81,46;5959;95,89;79,5877;8,068;3698;72,7;78,81;54,47;77,15;37,5;593,3;20,45;2415;22,67;1688,5;1688,5;70,38;5326,83;67,13;31,8;2723,5;1411;#N/A N/A;97,12;230,5;489;1973,5;68,4;63,52;454,7;2394;1453;207,4;#N/A N/A;0,65;73,95;26,49;11,63;4990;911;#N/A N/A;170,76;63,36;307,65;25,24;97,7;103,1;81,24;140,85;32,81;6933;3877,5;237,85;332,4;47,34;586,2;76,91;107,8;61,17;70,16;38,04;91,46;641,6;54,2;108,377;34,56;37,94;17,34;82,4;188,15;258,15
28/09/2018;77,5082;55,84;37,23;193,9;103;108,18;80,02;5963;96,14;77,5082;7,932;3679;71,8;77,5;52,71;76,8;37,23;589,3;20,45;2413;22,23;1706;1706;69,86;5328,878;66,7;31,15;2719;1416;#N/A N/A;96,16;223,4;489;1970,5;67,95;63,24;455,2;2413;1445;204;#N/A N/A;0,675;72,15;26,11;11,184;4992;911;#N/A N/A;173,68;62,78;304,6;25,26;98,37;102,95;81,82;141,3;32,48;7016;3880;237,75;330,5;46,62;586,4;76,56;106;60,92;69,3;36,97;91,34;636,4;54,4;108,401;33,8;37,4;17,19;82,02;186,7;259,4
01/10/2018;79,0206;56,37;37,18;192;103,3182;107,4;82,06;5990;95,72;79,0206;8,092;3555;71,9;78,04;51,99;76,55;37,18;595,3;20,45;2420;22,49;1709,5;1709,5;71,12;5369,854;68,11;32,2;2748,5;1420;#N/A N/A;96,1;224,3;487,4;1988,5;66,75;68,62;457,2;2454;1504;209,2;#N/A N/A;0,675;73,45;26,45;11,156;5050;906;#N/A N/A;173,42;63;306,9;24,9;99,49;103,55;82,06;141,3;32,01;7034;3843;239,15;333;47,2;580,2;77,54;106,68;61,59;68,98;36,595;91,62;615,5;51,6;108,468;33,74;36,75;17,245;82;192,45;257,2
02/10/2018;79,2096;56,2;36,78;191,6;103,8182;105,68;80,78;6000;93,6;79,2096;8,042;3499;71,5;78,59;51,98;75,05;36,78;597;20,45;2404;22,31;1709;1709;71,02;5396,488;67,63;31,5;2755,5;1417;#N/A N/A;95,88;223;467,8;1967;65;69,2;452,8;2449;1491;207,6;#N/A N/A;0,675;72,2;25,51;11,128;5004;907;#N/A N/A;173,34;62,32;300,35;24,74;99,02;102,2;82,14;140,25;31,65;7052;3890,5;240,15;333;47,9;578;76,93;106,06;61,89;67,7;36,54;90,8;612,9;51;108,506;33,54;35,71;17,445;81,24;190,55;257,6
03/10/2018;78,0375;56,3;37,02;188,6;104,6818;107,06;81,24;6078;92,9;78,0375;8,062;3536;71,2;79,21;52,14;76,35;37,02;597,9;20,45;2421;21,55;1679;1679;71,02;5447,708;67,72;31,85;2769;1412;#N/A N/A;97,08;228,5;475,2;1968;65,2;69,2;455,3;2464;1470;204,2;#N/A N/A;0,65;73,45;25,7;11,206;5020;909;#N/A N/A;171,8;62,52;302,75;24,46;97,47;104,7;82,8;141,8;31,74;7155;3917,5;243,55;340,8;49,36;578,8;77,34;106,06;62,62;67,98;36,755;89,7;627,4;51,2;108,703;33,46;34,78;17,285;81,5;190,55;260,65
04/10/2018;77,8107;56,07;36,93;189,1;102,8182;105,26;80,12;6003;85,67;77,8107;8,2;3533;70,8;78,25;52,3;77,55;36,93;598,3;20,45;2347;20,95;1623;1623;68,6;5199,805;66,25;31,25;2706;1400;#N/A N/A;95,2;225,5;465,6;1935,5;64,05;69,56;450,6;2388;1444;191,2;#N/A N/A;0,65;73,5;25,51;11,09;4750;905,5;#N/A N/A;170,47;62,08;287,95;24,3;96,98;102,6;81,62;138,05;30,47;6855;3901,5;243,7;338,7;48,4;563,4;76,35;106,08;62,85;67,5;37;88,12;618,1;51;108,657;33,23;32,5;17,115;80,96;190,75;257,45
